,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,sub_area,area_m,raion_popul,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,nuclear_reactor_raion,full_all,work_all,kremlin_km,big_road1_km,railroad_km,zd_vokzaly_avto_km,metro_km_walk,radiation_km,price_doc
0,2014-12-12,43,18.0,8.0,12.0,2.0,1982.0,1.0,11.0,2.0,Nagatinskij Zaton,9589336.912,115352,1,0,3,no,76284,70194,8.471029817,3.016095574,1.762971841,11.32888179,2.332633064,2.144923039,7700000
1,2014-12-05,38,30.0,6.0,10.0,1.0,1983.0,2.0,0.0,2.0,Birjulevo Zapadnoe,8464344.053,85721,0,0,0,no,145088,54914,19.09727383,0.61722185,0.287254579,19.90558764,5.968367276,2.436118859,2700000
2,2014-05-06,56,29.0,12.0,12.0,1.0,2001.0,2.0,11.0,3.0,Matushkino,4708040.47,38075,0,0,0,no,85219,22413,38.0093365,0.559309806,1.859808021,37.8338152,24.74029837,22.14992359,7000000
3,2013-09-07,32,18.0,5.0,9.0,1.0,1969.0,1.0,6.0,2.0,Gol'janovo,14286990.83,157010,3,0,5,no,12327,98260,14.69578362,0.841923636,2.2763315790000003,12.62045144,2.6795638040000003,2.423204381,4900000
4,2015-03-25,44,27.0,4.0,9.0,1.0,1976.0,2.0,6.0,3.0,Orehovo-Borisovo Juzhnoe,7128794.338,145576,1,0,6,no,129207,104635,17.35785843,1.214405055,2.476703578,18.19354658,1.575428869,3.304496619,6700000
5,2015-05-16,53,32.0,2.0,5.0,2.0,1958.0,2.0,7.0,1.0,Ostankinskoe,12505755.08,61396,3,0,1,no,65972,37484,7.74291448,1.273266646,0.287579701,4.313005212,1.095971605,1.761556651,10200000
6,2014-03-04,32,18.0,1.0,9.0,1.0,1970.0,1.0,6.0,3.0,Chertanovo Central'noe,6879019.637999998,112221,0,0,6,no,111874,68254,14.96867027,0.667686759,2.131148919,15.45963916,0.627133221,3.242521935,5850000
7,2014-04-01,76,45.0,16.0,17.0,1.0,1987.0,3.0,10.0,3.0,Novokosino,3707575.212,103746,1,0,4,no,94561,73158,15.27122106,1.512396644,1.3502968869999998,19.16613753,0.621831177,3.916265264,10600000
8,2013-10-23,36,18.0,5.0,5.0,2.0,1976.0,1.0,7.0,2.0,Pechatniki,18445806.5,83369,0,0,2,no,43795,51393,11.30600258,5.024317292,0.496341583,14.5703363,3.632182100000001,0.423515524,4600000
9,2014-06-11,44,28.0,5.0,5.0,2.0,1959.0,2.0,5.0,2.0,Rjazanskij,6377883.078,101982,0,0,0,no,83369,62215,10.64666408,1.997078026,0.534443334,10.59315787,1.332574498,1.69600649,5600000
10,2014-07-01,58,42.0,6.0,9.0,1.0,1969.0,3.0,5.0,3.0,Pechatniki,18445806.5,83369,0,0,2,no,43795,51393,9.841736117,2.855553254,0.34234804,11.17404471,1.488727121,1.037011669,8850000
11,2014-09-24,35,14.0,5.0,10.0,1.0,2002.0,1.0,14.0,3.0,Mar'ino,11754772.16,247469,5,0,15,no,165727,161290,13.768677800000004,3.5442514330000003,2.3073006730000003,15.7586033,2.066865083,1.211423055,6270000
12,2014-01-21,38,17.0,4.0,14.0,1.0,2004.0,1.0,8.0,1.0,Juzhnoe Butovo,26155137.04,178264,1,0,4,no,102618,121369,23.66047489,3.731356988,0.15556730400000002,26.774405,1.6115921080000002,5.516270928,5750000
13,2015-01-24,26,26.0,18.0,22.0,1.0,2016.0,1.0,1.0,1.0,Poselenie Shherbinka,7878765.472999998,32241,0,0,1,no,39873,20445,28.15157234,1.921730588,1.133269037,29.50249497,7.468866947,9.849306808,3067584
14,2014-07-28,56,40.0,9.0,9.0,2.0,1967.0,3.0,5.0,2.0,Nagornoe,5293464.965,77878,3,0,2,no,115352,49882,9.552497284,0.147383305,0.348638867,10.39814847,0.768988132,0.657019668,11700000
15,2014-10-03,43,26.0,4.0,5.0,5.0,1958.0,2.0,6.0,3.0,Fili Davydkovo,6982964.4920000015,111374,2,0,5,no,89467,65613,8.203545146,0.557822251,0.367824105,7.103487058,0.496476196,0.257570766,8200000
16,2014-02-17,39,20.0,1.0,12.0,1.0,1984.0,1.0,8.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,61396,112133,12.33169678,2.405699631,1.210859119,10.57499091,0.770190467,1.7303216419999998,6250000
17,2013-10-25,73,43.0,15.0,17.0,1.0,1985.0,3.0,10.0,3.0,Mar'ino,11754772.16,247469,5,0,15,no,165727,161290,13.21541031,4.64571821,1.568280549,15.66941036,1.003187013,1.401028025,11000000
18,2014-01-25,38,16.0,1.0,8.0,2.0,1958.0,1.0,7.0,3.0,Akademicheskoe,5704502.19,106445,4,0,1,yes,1362363,68518,6.376594459,0.702278168,1.213614674,7.893962511000002,1.085834771,0.444897784,7600000
19,2014-01-13,53,32.0,8.0,9.0,1.0,1999.0,2.0,9.0,2.0,Juzhnoe Butovo,26155137.04,178264,1,0,4,no,102618,121369,24.36607709,3.655714965,0.47223722,26.93812653,1.042508136,6.229479862000001,3000000
20,2014-07-15,59,43.0,2.0,9.0,1.0,1974.0,2.0,6.0,3.0,Teplyj Stan,8392316.21,130396,1,0,5,no,90114,76776,15.55793143,0.368709769,4.84958273,16.75949762,1.759675563,1.161489533,9000000
21,2013-10-25,38,19.0,7.0,14.0,1.0,1994.0,1.0,8.0,3.0,Mar'ino,11754772.16,247469,5,0,15,no,165727,161290,14.08095133,3.611129327,2.584445081,15.93633103,1.149751553,1.423982575,6400000
22,2013-08-27,39,23.0,9.0,12.0,1.0,1966.0,2.0,7.0,2.0,Izmajlovo,15045565.2,102828,6,0,6,no,122862,65499,8.807559671,3.014827073,0.334993098,6.687620965,0.389418799,1.630139559,6900000
23,2014-05-28,39,19.0,12.0,17.0,1.0,1984.0,1.0,8.0,2.0,Losinoostrovskoe,5361326.947,80917,1,0,1,no,79576,49063,13.55517487,1.411134604,0.82732245,9.697548581,1.508486589,0.6544747320000001,7100000
24,2013-10-24,38,23.0,11.0,14.0,5.0,1971.0,2.0,620.0,2.0,Novogireevo,4395332.782,94561,2,0,5,no,72131,56908,12.7986136,0.930192772,0.146914004,13.45623065,1.215256392,1.909072969,6300000
25,2014-10-22,45,28.0,2.0,5.0,5.0,1966.0,2.0,5.0,3.0,Mar'ina Roshha,4684027.803,65972,3,0,7,no,26943,43472,4.445333596,0.221983864,0.122869375,2.764797582,0.858950773,3.359547118,8000000
26,2013-11-22,42,25.0,4.0,10.0,1.0,2000.0,2.0,7.0,3.0,Juzhnoe Butovo,26155137.04,178264,1,0,4,no,102618,121369,24.00637097,2.64447852,0.792656215,25.4340408,1.833928553,6.011564914,5500000
27,2014-10-27,79,76.0,19.0,25.0,1.0,2015.0,1.0,1.0,1.0,Nekrasovka,11391678.48,19940,0,0,0,no,247469,13331,19.6919043,3.481845093,3.024246456,24.84404146,0.08615836,3.41149159,7562000
28,2014-09-27,32,10.0,7.0,25.0,4.0,2013.0,1.0,13.0,1.0,Poselenie Sosenskoe,66772450.69,9553,0,0,0,no,13890,6127,21.82631611,1.525551869,3.990601348,22.81430997,5.750282403,4.584418828,3100000
29,2014-06-21,30,17.0,8.0,9.0,2.0,1966.0,1.0,5.0,3.0,Ostankinskoe,12505755.08,61396,3,0,1,no,65972,37484,6.148415622999999,0.050204727000000005,0.8443948509999999,2.102161887,1.286352876,1.672382674,8000000
30,2014-04-03,47,29.0,2.0,9.0,1.0,1968.0,2.0,6.0,2.0,Savelki,7759253.984,32071,3,0,2,no,37807,19960,36.2476626,1.594250882,2.576606676,35.97845169,23.51204058,20.45938441,5900000
31,2014-01-20,44,30.0,1.0,5.0,5.0,1962.0,2.0,5.0,2.0,Koptevo,4787424.272,96959,4,0,0,no,78810,59120,10.85031098,1.922100047,0.246287973,7.961441346,1.377835071,2.208273301,6100000
32,2015-03-20,58,30.0,6.0,24.0,4.0,2003.0,2.0,12.0,3.0,Birjulevo Vostochnoe,14795571.25,145088,2,0,3,no,1716730,93008,19.24232873,0.340797389,0.7427053259999999,19.40741473,5.562856158,0.952664877,9000000
33,2014-01-29,63,30.0,10.0,12.0,4.0,2014.0,2.0,1.0,1.0,Poselenie Voskresenskoe,21494094.8,7122,0,0,0,no,9553,4568,26.85302865,2.904779883,4.192030464,37.12825662,5.40480062,9.251752752,6298240
34,2014-02-24,70,42.0,15.0,17.0,1.0,1991.0,3.0,9.0,2.0,Krjukovo,10842309.74,85219,2,0,4,no,221709,58114,38.63293067,4.288915157,0.391285307,39.42661925,22.11496349,23.22292426,1000000
35,2013-12-12,52,30.0,4.0,14.0,1.0,1996.0,2.0,8.0,2.0,Savelki,7759253.984,32071,3,0,2,no,37807,19960,35.74497974,1.453240932,2.575028561,35.52855444,24.12830312,19.93485406,6250000
36,2014-05-14,59,34.0,15.0,16.0,1.0,1980.0,2.0,10.0,3.0,Mar'ino,11754772.16,247469,5,0,15,no,165727,161290,13.2738818,4.877746818,1.19568829,16.9186399,2.514799128,1.551699647,8200000
37,2014-01-17,46,27.0,5.0,9.0,1.0,1974.0,2.0,5.0,3.0,Orehovo-Borisovo Juzhnoe,7128794.338,145576,1,0,6,no,129207,104635,17.384142,1.163532775,1.815923658,18.43453749,1.79201157,2.568979393,6850000
38,2014-11-22,42,28.0,2.0,5.0,2.0,1969.0,2.0,5.0,3.0,Dorogomilovo,7798452.185,67710,1,0,4,no,21040,43413,4.036878866,0.926143644,0.543017183,1.623570316,1.232916573,2.051342421,10500000
39,2014-09-19,57,37.0,3.0,9.0,1.0,1971.0,3.0,5.0,2.0,Pokrovskoe Streshnevo,13089795.79,53786,4,0,5,no,178473,33149,12.98368443,2.58320979,0.033732545,10.9226716,1.475533056,0.473078416,9100000
40,2014-12-01,39,23.0,6.0,12.0,5.0,1968.0,2.0,6.0,2.0,Caricyno,8287309.438999998,125354,3,0,2,no,145576,84387,13.86950376,3.027313571,0.692286813,14.49739923,1.414643678,0.282542122,6400000
41,2014-11-10,79,47.0,14.0,17.0,1.0,2011.0,3.0,9.0,3.0,Nekrasovka,11391678.48,19940,0,0,0,no,247469,13331,19.4369908,3.3904887610000003,2.925371865,24.94573778,0.410875493,3.169041804,7696425
42,2014-09-08,78,44.0,1.0,5.0,6.0,2005.0,3.0,11.0,3.0,Kurkino,7792845.494,21155,0,0,4,no,942118,13143,20.40611928,2.240021491,2.744842981,19.5009707,4.890385642,5.012824765,13200000
43,2015-04-18,53,32.0,16.0,17.0,1.0,1994.0,2.0,9.0,3.0,Donskoe,5686537.395,48439,0,0,3,no,91100,28737,5.68317097,0.069561159,0.217160629,6.243637082999999,1.148221476,0.6175020379999999,10750000
44,2014-02-21,58,39.0,9.0,9.0,1.0,1974.0,3.0,6.0,2.0,Ivanovskoe,10207215.1,122862,1,0,1,no,157010,77612,13.48684006,0.306272729,1.3028471,12.96764356,3.884888518,1.650711354,7950000
45,2014-03-19,60,33.0,15.0,17.0,1.0,1997.0,2.0,10.0,3.0,Mitino,12583535.69,178473,1,0,11,no,21155,120381,17.21591354,0.31282481,0.842606367,14.98124044,1.109097493,3.90709638,10000000
